"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 12:42:05 GMT 2024","Sun Nov 24 12:42:05 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sun Nov 24 12:41:09 GMT 2024","Sun Nov 24 12:42:05 GMT 2024","55471","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Nov 24 12:40:08 GMT 2024","Sun Nov 24 12:40:59 GMT 2024","51679","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Nov 24 12:42:21 GMT 2024","Sun Nov 24 12:42:31 GMT 2024","10122","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build configuration with an empty name",""
"passed","Sun Nov 24 12:42:05 GMT 2024","Sun Nov 24 12:42:21 GMT 2024","15724","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build configuration",""
