"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 14:20:59 GMT 2024","Sun Nov 24 14:21:09 GMT 2024","9474","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build configuration with an empty name",""
"passed","Sun Nov 24 14:20:43 GMT 2024","Sun Nov 24 14:20:43 GMT 2024","4","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sun Nov 24 14:20:43 GMT 2024","Sun Nov 24 14:20:59 GMT 2024","15537","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build configuration",""
"failed","Sun Nov 24 14:19:53 GMT 2024","Sun Nov 24 14:20:43 GMT 2024","50129","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Nov 24 14:18:50 GMT 2024","Sun Nov 24 14:19:43 GMT 2024","53184","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
